,task_id,task_description,deadline,priority,assigned_user,user_workload,past_task_behavior,category,status,time_taken_(hours),deadline_days_remaining,task_length,has_keyword_urgent,is_weekend_deadline,category_encoded,status_encoded,priority_encoded,is_completed,user_current_load,past_behavior_score,workload,deadline_days,task_description_clean
21,T0070,Update internal documentation,2025-08-06,Low,User_6,6.0,On Time,Management,In Progress,0.0,0.2181818181818181,0.0,0,0,4.0,1.0,1.0,0.0,0.6666666666666667,1.0,0.2632275132275132,12,update internal documentation
22,T0025,Update internal documentation,2025-08-15,Low,User_10,2.0,Delayed,Management,Completed,0.2333333333333333,0.3818181818181818,0.0,0,0,4.0,0.0,1.0,1.0,0.3333333333333332,0.3,0.1633597883597884,21,update internal documentation
23,T0281,Resolve payment gateway timeout issue,2025-07-22,High,User_9,2.0,Late,Management,Pending,0.0,0.0,0.6666666666666665,0,0,4.0,2.0,0.0,0.0,0.3333333333333332,0.5,0.2506613756613756,0,resolve payment gateway timeout issue
24,synthetic_53271,Design UI for dashboard module.,2025-08-10,High,user5,6.0,Needs Improvement,Design,To Do,0.178653269133957,0.2909090909090909,0.6666666666666665,0,1,2.0,1.0,1.0,0.0,0.4166666666666667,0.3,0.5221560846560847,16,design ui dashboard module
25,T0085,Organize shared team files,2025-07-25,Low,User_5,8.0,Delayed,DevOps,Pending,0.0,0.0,0.3333333333333332,0,0,1.0,2.0,1.0,0.0,0.5833333333333333,0.3,0.3835978835978835,0,organize shared team file
26,T0109,Write integration tests for API,2025-09-06,Medium,User_4,10.0,On Time,Development,In Progress,0.0,0.7818181818181817,0.6666666666666665,0,1,2.0,1.0,2.0,0.0,0.0833333333333332,1.0,0.8313492063492064,43,write integration test api
27,T0194,Create UI wireframes for feature,2025-08-07,Medium,User_1,2.0,Late,DevOps,Pending,0.0,0.2363636363636363,0.6666666666666665,0,0,1.0,2.0,2.0,0.0,0.9999999999999998,0.5,0.3458994708994709,13,create ui wireframes feature
28,synthetic_99820,Implement search functionality.,2025-08-19,Low,user9,5.0,On Time,Development,To Do,0.310986266238596,0.4545454545454545,0.0,0,0,2.0,1.0,1.0,0.0,0.4166666666666667,1.0,0.5221560846560847,25,implement search functionality
29,synthetic_43204,Redesign profile section layout.,2025-08-17,Urgent,user8,3.0,On Time,Design,To Do,0.5204874556665724,0.4181818181818181,0.3333333333333332,0,1,2.0,1.0,1.0,0.0,0.4166666666666667,1.0,0.5221560846560847,23,redesign profile section layout
30,T0067,Schedule weekly team sync,2025-07-23,Low,User_7,5.0,Delayed,Management,Completed,0.8666666666666667,0.0,0.3333333333333332,0,0,4.0,0.0,1.0,1.0,0.5833333333333333,0.3,0.2566137566137565,0,schedule weekly team sync
31,T0204,Resolve payment gateway timeout issue,2025-08-29,High,User_10,7.0,Delayed,Testing,In Progress,0.0,0.6363636363636364,0.6666666666666665,0,0,5.0,1.0,0.0,0.0,0.3333333333333332,0.3,0.6686507936507936,35,resolve payment gateway timeout issue
32,T0058,Organize shared team files,2025-08-01,Low,User_1,4.0,On Time,DevOps,In Progress,0.0,0.1272727272727272,0.3333333333333332,0,0,1.0,1.0,1.0,0.0,0.9999999999999998,1.0,0.2718253968253968,7,organize shared team file
33,T0072,Send status update to manager,2025-08-19,Low,User_1,2.0,Delayed,Management,Completed,0.775,0.4545454545454545,0.6666666666666665,0,0,4.0,0.0,1.0,1.0,0.9999999999999998,0.3,0.4173280423280423,25,send status update manager
34,synthetic_44512,Update system documentation for new features.,2025-08-04,Medium,user3,5.0,On Time,Documentation,To Do,0.6764440655995942,0.1818181818181818,1.0,0,0,2.0,1.0,1.0,0.0,0.4166666666666667,1.0,0.5221560846560847,10,update system documentation new feature
35,T0177,Refactor module for scalability,2025-07-28,Medium,User_1,7.0,Delayed,Design,In Progress,0.0,0.0545454545454545,0.3333333333333332,0,0,0.0,1.0,2.0,0.0,0.9999999999999998,0.3,0.363095238095238,3,refactor module scalability
36,synthetic_72571,Prepare user guide for module deployment.,2025-08-13,Urgent,user6,10.0,Excellent,Documentation,To Do,0.3496643058352932,0.3454545454545454,1.0,0,0,2.0,1.0,1.0,0.0,0.4166666666666667,1.2,0.5221560846560847,19,prepare user guide module deployment
37,T0136,Create UI wireframes for feature,2025-09-17,Medium,User_5,6.0,Delayed,Design,Completed,0.7249999999999999,0.9818181818181818,0.6666666666666665,0,0,0.0,0.0,2.0,1.0,0.5833333333333333,0.3,0.7433862433862434,54,create ui wireframes feature
38,T0279,Deploy hotfix for customer complaints,2025-07-25,High,User_5,6.0,Delayed,Development,In Progress,0.0,0.0,0.6666666666666665,0,0,2.0,1.0,0.0,0.0,0.5833333333333333,0.3,0.4219576719576719,0,deploy hotfix customer complaint
39,synthetic_11423,Write API reference documentation.,2025-08-18,Urgent,user9,7.0,Needs Improvement,Documentation,To Do,0.7168523872832031,0.4363636363636363,0.3333333333333332,0,0,2.0,1.0,1.0,0.0,0.4166666666666667,0.3,0.5221560846560847,24,write api reference documentation
40,T0149,Write integration tests for API,2025-07-24,Medium,User_9,10.0,Late,Management,Pending,0.0,0.0,0.6666666666666665,0,0,4.0,2.0,2.0,0.0,0.3333333333333332,0.5,0.5694444444444444,0,write integration test api
41,T0186,Write integration tests for API,2025-07-23,Medium,User_5,9.0,Delayed,DevOps,Completed,0.1833333333333333,0.0,0.6666666666666665,0,0,1.0,0.0,2.0,1.0,0.5833333333333333,0.3,0.5251322751322751,0,write integration test api
42,T0057,Organize shared team files,2025-09-03,Low,User_8,3.0,Delayed,Testing,In Progress,0.0,0.7272727272727273,0.3333333333333332,0,0,5.0,1.0,1.0,0.0,0.1666666666666667,0.3,0.4298941798941798,40,organize shared team file
43,T0175,Review peer pull requests,2025-07-27,Medium,User_7,10.0,Late,Development,Pending,0.0,0.0363636363636363,0.3333333333333332,0,1,2.0,2.0,2.0,0.0,0.5833333333333333,0.5,0.4722222222222223,2,review peer pull request
44,T0113,Write integration tests for API,2025-07-26,Medium,User_5,9.0,Delayed,Documentation,Completed,0.775,0.0181818181818181,0.6666666666666665,0,1,3.0,0.0,2.0,1.0,0.5833333333333333,0.3,0.5429894179894179,1,write integration test api
45,T0074,Clean up old logs from server,2025-08-06,Low,User_8,4.0,On Time,Documentation,Completed,0.9416666666666668,0.2181818181818181,1.0,0,0,3.0,0.0,1.0,1.0,0.1666666666666667,1.0,0.5317460317460317,12,clean old log server
46,T0082,Send status update to manager,2025-07-30,Low,User_10,6.0,On Time,DevOps,Pending,0.0,0.0909090909090909,0.6666666666666665,0,0,1.0,2.0,1.0,0.0,0.3333333333333332,1.0,0.4517195767195767,5,send status update manager
47,T0159,Write integration tests for API,2025-08-25,Medium,User_9,8.0,Delayed,DevOps,Completed,0.8666666666666667,0.5636363636363636,0.6666666666666665,0,0,1.0,0.0,2.0,1.0,0.3333333333333332,0.3,0.6832010582010581,31,write integration test api
48,synthetic_87801,Plan sprint retrospective.,2025-07-24,Urgent,user5,5.0,Needs Improvement,Management,To Do,0.3810522600673575,0.0,0.0,0,0,2.0,1.0,1.0,0.0,0.4166666666666667,0.3,0.5221560846560847,0,plan sprint retrospective
49,T0022,Clean up old logs from server,2025-08-28,Low,User_6,3.0,On Time,DevOps,Completed,0.9416666666666668,0.6181818181818182,1.0,0,0,1.0,0.0,1.0,1.0,0.6666666666666667,1.0,0.6243386243386244,34,clean old log server
50,T0269,Fix critical bug in deployment pipeline,2025-08-13,High,User_10,1.0,Late,Documentation,Completed,0.3333333333333333,0.3454545454545454,1.0,0,0,3.0,0.0,0.0,1.0,0.3333333333333332,0.5,0.4583333333333333,19,fix critical bug deployment pipeline
51,T0116,Create UI wireframes for feature,2025-08-02,Medium,User_8,1.0,On Time,Design,Completed,0.8833333333333333,0.1454545454545454,0.6666666666666665,0,1,0.0,0.0,2.0,1.0,0.1666666666666667,1.0,0.2777777777777777,8,create ui wireframes feature
52,synthetic_94121,Write unit tests for payment module.,2025-08-20,Urgent,user5,10.0,Excellent,Testing,To Do,0.8234374603018413,0.4727272727272727,1.0,0,0,2.0,1.0,1.0,0.0,0.4166666666666667,1.2,0.5221560846560847,26,write unit test payment module
53,synthetic_98017,Coordinate interdepartmental meeting.,2025-08-15,Urgent,user7,6.0,Late,Management,To Do,0.7839737930240149,0.3818181818181818,0.0,0,0,2.0,1.0,1.0,0.0,0.4166666666666667,0.5,0.5221560846560847,21,coordinate interdepartmental meeting
54,T0001,Update internal documentation,2025-08-27,Low,User_4,4.0,Late,Management,In Progress,0.0,0.6,0.0,0,0,4.0,1.0,1.0,0.0,0.0833333333333332,0.5,0.3115079365079364,33,update internal documentation
55,T0119,Write integration tests for API,2025-08-16,Medium,User_2,9.0,Late,Documentation,Pending,0.0,0.3999999999999999,0.6666666666666665,0,1,3.0,2.0,2.0,0.0,0.4166666666666667,0.5,0.6679894179894179,22,write integration test api
56,T0225,Restore database from backup,2025-09-07,High,User_7,2.0,Delayed,Documentation,Completed,0.7583333333333333,0.7999999999999999,0.3333333333333332,0,1,3.0,0.0,0.0,1.0,0.5833333333333333,0.3,0.4153439153439153,44,restore database backup
57,T0140,Create UI wireframes for feature,2025-09-10,Medium,User_3,9.0,Late,Documentation,In Progress,0.0,0.8545454545454545,0.6666666666666665,0,0,3.0,1.0,2.0,0.0,0.0,0.5,0.8167989417989416,47,create ui wireframes feature
58,T0020,Update internal documentation,2025-07-25,Low,User_3,7.0,Late,Development,Pending,0.0,0.0,0.0,0,0,2.0,2.0,1.0,0.0,0.0,0.5,0.2301587301587301,0,update internal documentation
59,synthetic_98470,Create wireframes for onboarding screens.,2025-08-05,High,user6,7.0,Needs Improvement,Design,To Do,0.3041648643354111,0.1999999999999999,0.6666666666666665,0,0,2.0,1.0,1.0,0.0,0.4166666666666667,0.3,0.5221560846560847,11,create wireframes onboarding screen
60,T0264,Restore database from backup,2025-08-22,High,User_10,8.0,Late,Testing,Completed,0.925,0.509090909090909,0.3333333333333332,0,0,5.0,0.0,0.0,1.0,0.3333333333333332,0.5,0.5502645502645503,28,restore database backup
61,synthetic_17149,Conduct load testing for new API.,2025-08-11,Urgent,user2,2.0,Needs Improvement,Testing,To Do,0.3695236547972738,0.3090909090909091,1.0,0,0,2.0,1.0,1.0,0.0,0.4166666666666667,0.3,0.5221560846560847,17,conduct load testing new api
62,T0231,Patch security vulnerability in auth system,2025-08-04,High,User_6,2.0,On Time,DevOps,Completed,0.3999999999999999,0.1818181818181818,1.0,0,0,1.0,0.0,0.0,1.0,0.6666666666666667,1.0,0.4431216931216931,10,patch security vulnerability auth system
63,T0083,Clean up old logs from server,2025-08-30,Low,User_8,4.0,Delayed,Design,Pending,0.0,0.6545454545454545,1.0,0,1,0.0,2.0,1.0,0.0,0.1666666666666667,0.3,0.6746031746031744,36,clean old log server
64,synthetic_22926,Write API reference documentation.,2025-08-07,Low,user2,10.0,Needs Improvement,Documentation,To Do,0.5814187551509244,0.2363636363636363,0.3333333333333332,0,0,2.0,1.0,1.0,0.0,0.4166666666666667,0.3,0.5221560846560847,13,write api reference documentation
65,synthetic_73068,Create wireframes for onboarding screens.,2025-08-14,High,user7,4.0,Excellent,Design,To Do,0.8513546905120446,0.3636363636363636,0.6666666666666665,0,0,2.0,1.0,1.0,0.0,0.4166666666666667,1.2,0.5221560846560847,20,create wireframes onboarding screen
66,T0289,Fix critical bug in deployment pipeline,2025-07-27,High,User_2,8.0,Delayed,DevOps,Pending,0.0,0.0363636363636363,1.0,0,1,1.0,2.0,0.0,0.0,0.4166666666666667,0.3,0.6256613756613756,2,fix critical bug deployment pipeline
67,T0221,Fix critical bug in deployment pipeline,2025-08-29,High,User_1,4.0,On Time,Testing,Completed,0.7416666666666667,0.6363636363636364,1.0,0,0,5.0,0.0,0.0,1.0,0.9999999999999998,1.0,0.6686507936507937,35,fix critical bug deployment pipeline
68,T0299,Deploy hotfix for customer complaints,2025-09-14,High,User_9,6.0,On Time,Design,Completed,0.5249999999999999,0.9272727272727272,0.6666666666666665,0,1,0.0,0.0,0.0,1.0,0.3333333333333332,1.0,0.7255291005291006,51,deploy hotfix customer complaint
69,synthetic_89762,Allocate resources for upcoming milestone.,2025-08-02,Low,user8,10.0,Late,Management,To Do,0.4221944221817731,0.1454545454545454,0.6666666666666665,0,1,2.0,1.0,1.0,0.0,0.4166666666666667,0.5,0.5221560846560847,8,allocate resource upcoming milestone
70,T0293,Deploy hotfix for customer complaints,2025-07-30,High,User_9,1.0,Delayed,Development,In Progress,0.0,0.0909090909090909,0.6666666666666665,0,0,2.0,1.0,0.0,0.0,0.3333333333333332,0.3,0.2599206349206349,5,deploy hotfix customer complaint
71,T0237,Fix critical bug in deployment pipeline,2025-09-18,High,User_9,8.0,Delayed,Development,Completed,0.3833333333333333,1.0,1.0,0,0,2.0,0.0,0.0,1.0,0.3333333333333332,0.3,0.9411375661375662,55,fix critical bug deployment pipeline
72,synthetic_75186,Plan sprint retrospective.,2025-07-22,Medium,user2,6.0,Needs Improvement,Management,To Do,0.1760998497217614,0.0,0.0,0,0,2.0,1.0,1.0,0.0,0.4166666666666667,0.3,0.5221560846560847,0,plan sprint retrospective
73,T0283,Deploy hotfix for customer complaints,2025-09-09,High,User_2,10.0,On Time,Management,In Progress,0.0,0.8363636363636363,0.6666666666666665,0,0,4.0,1.0,0.0,0.0,0.4166666666666667,1.0,0.8492063492063492,46,deploy hotfix customer complaint
74,synthetic_56601,Optimize CI/CD pipeline.,2025-07-24,Urgent,user1,2.0,Needs Improvement,DevOps,To Do,0.3769928005776014,0.0,0.0,0,0,2.0,1.0,1.0,0.0,0.4166666666666667,0.3,0.5221560846560847,0,optimize cicd pipeline
75,T0222,Restore database from backup,2025-08-26,High,User_7,10.0,Late,Development,In Progress,0.0,0.5818181818181818,0.3333333333333332,0,0,2.0,1.0,0.0,0.0,0.5833333333333333,0.5,0.6507936507936509,32,restore database backup
76,synthetic_97057,Setup monitoring for production servers.,2025-08-15,Urgent,user10,2.0,Excellent,DevOps,To Do,0.7790862382730659,0.3818181818181818,0.6666666666666665,0,0,2.0,1.0,1.0,0.0,0.4166666666666667,1.2,0.5221560846560847,21,setup monitoring production server
77,synthetic_74495,Update color palette and typography.,2025-08-15,Urgent,user8,5.0,On Time,Design,To Do,0.8714266510818703,0.3818181818181818,0.6666666666666665,0,0,2.0,1.0,1.0,0.0,0.4166666666666667,1.0,0.5221560846560847,21,update color palette typography
78,T0166,Update user guides,2025-08-12,Medium,User_7,7.0,On Time,Testing,Pending,0.0,0.3272727272727272,0.0,0,0,5.0,2.0,2.0,0.0,0.5833333333333333,1.0,0.3373015873015872,18,update user guide
79,synthetic_16043,Conduct load testing for new API.,2025-08-04,High,user10,10.0,Needs Improvement,Testing,To Do,0.526481963530063,0.1818181818181818,1.0,0,0,2.0,1.0,1.0,0.0,0.4166666666666667,0.3,0.5221560846560847,10,conduct load testing new api
80,T0098,Update internal documentation,2025-08-15,Low,User_8,1.0,Late,Documentation,In Progress,0.0,0.3818181818181818,0.0,0,0,3.0,1.0,1.0,0.0,0.1666666666666667,0.5,0.125,21,update internal documentation
81,T0208,Deploy hotfix for customer complaints,2025-08-27,High,User_7,6.0,On Time,Testing,Pending,0.0,0.6,0.6666666666666665,0,0,5.0,2.0,0.0,0.0,0.5833333333333333,1.0,0.6183862433862435,33,deploy hotfix customer complaint
82,synthetic_28425,Update system documentation for new features.,2025-08-18,High,user4,5.0,On Time,Documentation,To Do,0.9422426019249196,0.4363636363636363,1.0,0,0,2.0,1.0,1.0,0.0,0.4166666666666667,1.0,0.5221560846560847,24,update system documentation new feature
83,synthetic_81727,Write unit tests for payment module.,2025-08-02,High,user10,1.0,Excellent,Testing,To Do,0.2189360309806333,0.1454545454545454,1.0,0,1,2.0,1.0,1.0,0.0,0.4166666666666667,1.2,0.5221560846560847,8,write unit test payment module
84,T0103,Write integration tests for API,2025-09-18,Medium,User_8,1.0,On Time,DevOps,Pending,0.0,1.0,0.6666666666666665,0,0,1.0,2.0,2.0,0.0,0.1666666666666667,1.0,0.5575396825396824,55,write integration test api
85,T0051,Schedule weekly team sync,2025-08-22,Low,User_1,4.0,Late,Testing,In Progress,0.0,0.509090909090909,0.3333333333333332,0,0,5.0,1.0,1.0,0.0,0.9999999999999998,0.5,0.3968253968253967,28,schedule weekly team sync
86,T0169,Review peer pull requests,2025-09-01,Medium,User_2,8.0,On Time,Management,Completed,0.1583333333333333,0.6909090909090909,0.3333333333333332,0,0,4.0,0.0,2.0,1.0,0.4166666666666667,1.0,0.6097883597883598,38,review peer pull request
87,T0043,Update internal documentation,2025-08-28,Low,User_5,7.0,On Time,Testing,Completed,0.3249999999999999,0.6181818181818182,0.0,0,0,5.0,0.0,1.0,1.0,0.5833333333333333,1.0,0.4325396825396824,34,update internal documentation
88,T0217,Restore database from backup,2025-07-24,High,User_10,1.0,Delayed,Development,Completed,0.1416666666666666,0.0,0.3333333333333332,0,0,2.0,0.0,0.0,1.0,0.3333333333333332,0.3,0.1091269841269841,0,restore database backup
89,synthetic_62480,Redesign profile section layout.,2025-07-23,High,user8,9.0,Needs Improvement,Design,To Do,0.3107779869546181,0.0,0.3333333333333332,0,0,2.0,1.0,1.0,0.0,0.4166666666666667,0.3,0.5221560846560847,0,redesign profile section layout
90,T0021,Organize shared team files,2025-07-27,Low,User_7,3.0,Late,Development,Completed,0.2083333333333333,0.0363636363636363,0.3333333333333332,0,1,2.0,0.0,1.0,1.0,0.5833333333333333,0.5,0.2037037037037037,2,organize shared team file
91,T0030,Send status update to manager,2025-08-25,Low,User_1,7.0,On Time,Management,In Progress,0.0,0.5636363636363636,0.6666666666666665,0,0,4.0,1.0,1.0,0.0,0.9999999999999998,1.0,0.6448412698412697,31,send status update manager
92,T0287,Deploy hotfix for customer complaints,2025-09-10,High,User_2,3.0,On Time,Documentation,Completed,0.7416666666666667,0.8545454545454545,0.6666666666666665,0,0,3.0,0.0,0.0,1.0,0.4166666666666667,1.0,0.5866402116402116,47,deploy hotfix customer complaint
93,T0157,Refactor module for scalability,2025-09-16,Medium,User_6,4.0,Delayed,Design,In Progress,0.0,0.9636363636363636,0.3333333333333332,0,0,0.0,1.0,2.0,0.0,0.6666666666666667,0.3,0.5456349206349206,53,refactor module scalability
94,T0288,Resolve payment gateway timeout issue,2025-09-12,High,User_5,4.0,Delayed,Testing,In Progress,0.0,0.8909090909090909,0.6666666666666665,0,0,5.0,1.0,0.0,0.0,0.5833333333333333,0.3,0.6369047619047618,49,resolve payment gateway timeout issue
95,synthetic_98333,Prepare user guide for module deployment.,2025-07-27,High,user6,3.0,Excellent,Documentation,To Do,0.3612161664695213,0.0363636363636363,1.0,0,1,2.0,1.0,1.0,0.0,0.4166666666666667,1.2,0.5221560846560847,2,prepare user guide module deployment
96,T0039,Send status update to manager,2025-07-29,Low,User_10,6.0,Delayed,Development,In Progress,0.0,0.0727272727272727,0.6666666666666665,0,0,2.0,1.0,1.0,0.0,0.3333333333333332,0.3,0.4457671957671957,4,send status update manager
97,T0247,Fix critical bug in deployment pipeline,2025-08-25,High,User_8,7.0,Late,Design,Pending,0.0,0.5636363636363636,1.0,0,0,0.0,2.0,0.0,0.0,0.1666666666666667,0.5,0.759920634920635,31,fix critical bug deployment pipeline
98,synthetic_54335,Redesign profile section layout.,2025-07-25,High,user4,10.0,Late,Design,To Do,0.577559759692118,0.0,0.3333333333333332,0,0,2.0,1.0,1.0,0.0,0.4166666666666667,0.5,0.5221560846560847,0,redesign profile section layout
99,T0250,Deploy hotfix for customer complaints,2025-08-14,High,User_7,6.0,Late,DevOps,Pending,0.0,0.3636363636363636,0.6666666666666665,0,0,1.0,2.0,0.0,0.0,0.5833333333333333,0.5,0.541005291005291,20,deploy hotfix customer complaint
100,T0235,Restore database from backup,2025-09-16,High,User_9,5.0,Delayed,DevOps,Completed,0.4083333333333333,0.9636363636363636,0.3333333333333332,0,0,1.0,0.0,0.0,1.0,0.3333333333333332,0.3,0.583994708994709,53,restore database backup
101,T0165,Create UI wireframes for feature,2025-08-12,Medium,User_2,8.0,On Time,DevOps,In Progress,0.0,0.3272727272727272,0.6666666666666665,0,0,1.0,1.0,2.0,0.0,0.4166666666666667,1.0,0.6058201058201057,18,create ui wireframes feature
102,T0249,Deploy hotfix for customer complaints,2025-09-04,High,User_6,7.0,Delayed,DevOps,Completed,0.7,0.7454545454545454,0.6666666666666665,0,0,1.0,0.0,0.0,1.0,0.6666666666666667,0.3,0.7043650793650794,41,deploy hotfix customer complaint
103,T0107,Review peer pull requests,2025-07-24,Medium,User_9,2.0,Late,DevOps,Completed,0.15,0.0,0.3333333333333332,0,0,1.0,0.0,2.0,1.0,0.3333333333333332,0.5,0.1474867724867724,0,review peer pull request
104,synthetic_72991,Coordinate interdepartmental meeting.,2025-08-16,Low,user9,9.0,Late,Management,To Do,0.5281566312282766,0.3999999999999999,0.0,0,1,2.0,1.0,1.0,0.0,0.4166666666666667,0.5,0.5221560846560847,22,coordinate interdepartmental meeting
105,synthetic_25203,Setup monitoring for production servers.,2025-08-16,Urgent,user8,1.0,Late,DevOps,To Do,0.3044375021758721,0.3999999999999999,0.6666666666666665,0,1,2.0,1.0,1.0,0.0,0.4166666666666667,0.5,0.5221560846560847,22,setup monitoring production server
106,synthetic_46940,Write unit tests for payment module.,2025-07-27,Urgent,user7,1.0,Excellent,Testing,To Do,0.4620382348622314,0.0363636363636363,1.0,0,1,2.0,1.0,1.0,0.0,0.4166666666666667,1.2,0.5221560846560847,2,write unit test payment module
107,T0093,Schedule weekly team sync,2025-08-04,Low,User_6,1.0,Delayed,Design,Pending,0.0,0.1818181818181818,0.3333333333333332,0,0,0.0,2.0,1.0,0.0,0.6666666666666667,0.3,0.1746031746031746,10,schedule weekly team sync
108,T0201,Resolve payment gateway timeout issue,2025-08-20,High,User_2,9.0,Late,Documentation,In Progress,0.0,0.4727272727272727,0.6666666666666665,0,0,3.0,1.0,0.0,0.0,0.4166666666666667,0.5,0.691798941798942,26,resolve payment gateway timeout issue
109,synthetic_84318,Create onboarding manual for new developers.,2025-08-03,Urgent,user7,8.0,On Time,Documentation,To Do,0.5044805559106085,0.1636363636363636,1.0,0,1,2.0,1.0,1.0,0.0,0.4166666666666667,1.0,0.5221560846560847,9,create onboarding manual new developer
